Time stamp,Open,Close,High,Low,Volume
2020-02-13 13:13:00,324.82,324.58,324.82,324.57,35962.0
2020-02-13 13:12:00,324.88,324.83,324.88,324.77,14054.0
2020-02-13 13:11:00,324.88,324.88,324.99,324.88,23957.0
2020-02-13 13:10:00,324.74,324.87,324.96,324.68,40682.0
2020-02-13 13:09:00,324.73,324.75,324.77,324.58,30367.0
2020-02-13 13:08:00,324.82,324.72,324.89,324.72,22151.0
2020-02-13 13:07:00,324.8,324.84,324.85,324.75,27815.0
2020-02-13 13:06:00,324.72,324.75,324.83,324.66,45923.0
2020-02-13 13:05:00,324.73,324.7,324.88,324.63,20458.0
2020-02-13 13:04:00,324.86,324.76,324.92,324.71,30353.0
2020-02-13 13:03:00,324.86,324.86,325.06,324.8,44015.0
2020-02-13 13:02:00,324.87,324.84,324.88,324.71,27833.0
2020-02-13 13:01:00,324.69,324.85,324.87,324.68,26483.0
2020-02-13 13:00:00,324.65,324.68,324.85,324.54,64694.0
2020-02-13 12:59:00,324.43,324.62,324.76,324.4,58169.0
2020-02-13 12:58:00,324.94,324.43,324.94,324.39,119715.0
2020-02-13 12:57:00,325.04,324.95,325.07,324.95,46215.0
2020-02-13 12:56:00,325.04,325.04,325.17,325.01,36319.0
2020-02-13 12:55:00,325.3,325.05,325.33,325.05,53618.0
2020-02-13 12:54:00,325.48,325.3,325.51,325.3,24253.0
2020-02-13 12:53:00,325.45,325.47,325.47,325.38,12626.0
2020-02-13 12:52:00,325.42,325.46,325.55,325.4,26764.0
2020-02-13 12:51:00,325.3,325.4,325.43,325.3,14567.0
2020-02-13 12:50:00,325.28,325.32,325.36,325.27,19065.0
2020-02-13 12:49:00,325.32,325.29,325.39,325.26,17500.0
2020-02-13 12:48:00,325.46,325.34,325.47,325.34,21225.0
2020-02-13 12:47:00,325.36,325.48,325.49,325.36,44851.0
2020-02-13 12:46:00,325.34,325.36,325.42,325.26,28727.0
2020-02-13 12:45:00,325.24,325.33,325.36,325.15,42364.0
2020-02-13 12:44:00,325.08,325.21,325.21,325.04,33233.0
2020-02-13 12:43:00,325.2,325.11,325.21,325.08,35597.0
2020-02-13 12:42:00,325.34,325.22,325.36,325.19,26498.0
2020-02-13 12:41:00,325.33,325.33,325.34,325.24,20403.0
2020-02-13 12:40:00,325.27,325.33,325.41,325.27,27004.0
2020-02-13 12:39:00,325.24,325.27,325.31,325.15,23363.0
2020-02-13 12:38:00,325.29,325.25,325.32,325.19,26979.0
2020-02-13 12:37:00,325.3,325.27,325.3,325.15,51087.0
2020-02-13 12:36:00,325.43,325.29,325.45,325.24,36746.0
2020-02-13 12:35:00,325.6,325.44,325.6,325.42,31997.0
2020-02-13 12:34:00,325.6,325.58,325.64,325.51,26281.0
2020-02-13 12:33:00,325.72,325.58,325.72,325.51,25025.0
2020-02-13 12:32:00,325.64,325.7,325.78,325.64,21739.0
2020-02-13 12:31:00,325.74,325.64,325.77,325.6,28119.0
2020-02-13 12:30:00,325.59,325.72,325.8,325.59,36026.0
2020-02-13 12:29:00,325.56,325.59,325.61,325.56,24009.0
2020-02-13 12:28:00,325.54,325.55,325.64,325.53,23238.0
2020-02-13 12:27:00,325.64,325.54,325.65,325.43,68862.0
2020-02-13 12:26:00,325.77,325.64,325.79,325.64,35257.0
2020-02-13 12:25:00,325.76,325.77,325.82,325.72,20801.0
2020-02-13 12:24:00,325.82,325.77,325.83,325.66,42474.0
2020-02-13 12:23:00,325.79,325.82,325.88,325.79,32562.0
2020-02-13 12:22:00,325.98,325.8,325.98,325.75,24819.0
2020-02-13 12:21:00,325.98,325.97,325.99,325.83,31568.0
2020-02-13 12:20:00,326.07,325.99,326.09,325.77,79706.0
2020-02-13 12:19:00,326.21,326.07,326.22,326.04,49378.0
2020-02-13 12:18:00,326.12,326.21,326.21,326.1,55640.0
2020-02-13 12:17:00,325.95,326.13,326.14,325.87,139381.0
2020-02-13 12:16:00,325.87,325.95,325.95,325.87,48001.0
2020-02-13 12:15:00,325.83,325.86,325.91,325.73,51010.0
2020-02-13 12:14:00,325.82,325.83,325.89,325.75,52423.0
2020-02-13 12:13:00,325.71,325.8,325.85,325.69,47891.0
2020-02-13 12:12:00,325.54,325.73,325.8,325.54,54801.0
2020-02-13 12:11:00,325.63,325.54,325.64,325.4,30024.0
2020-02-13 12:10:00,325.58,325.58,325.65,325.57,34998.0
2020-02-13 12:09:00,325.58,325.55,325.6,325.47,37664.0
2020-02-13 12:08:00,325.53,325.58,325.62,325.52,35132.0
2020-02-13 12:07:00,325.47,325.54,325.56,325.43,30115.0
2020-02-13 12:06:00,325.36,325.49,325.5,325.34,34031.0
2020-02-13 12:05:00,325.28,325.34,325.43,325.28,18802.0
2020-02-13 12:04:00,325.45,325.3,325.47,325.3,43513.0
2020-02-13 12:03:00,325.27,325.45,325.55,325.27,70279.0
2020-02-13 12:02:00,325.02,325.26,325.32,324.92,96407.0
2020-02-13 12:01:00,325.1,325.04,325.1,325.01,9551.0
2020-02-13 12:00:00,324.98,325.11,325.12,324.97,21597.0
2020-02-13 11:59:00,325.06,324.99,325.07,324.95,32598.0
2020-02-13 11:58:00,325.04,325.07,325.16,325.04,25908.0
2020-02-13 11:57:00,325.09,325.06,325.09,324.98,20861.0
2020-02-13 11:56:00,325.1,325.11,325.24,325.1,56768.0
2020-02-13 11:55:00,324.94,325.08,325.1,324.91,47723.0
2020-02-13 11:54:00,324.95,324.96,325.01,324.92,20964.0
2020-02-13 11:53:00,325.02,324.93,325.07,324.93,15163.0
2020-02-13 11:52:00,325.05,325.03,325.07,324.98,17840.0
2020-02-13 11:51:00,325.05,325.06,325.09,325.04,24120.0
2020-02-13 11:50:00,324.9,325.05,325.1,324.86,27273.0
2020-02-13 11:49:00,324.77,324.9,325.01,324.77,30250.0
2020-02-13 11:48:00,325.07,324.79,325.11,324.75,68315.0
2020-02-13 11:47:00,325.17,325.09,325.2,325.02,26839.0
2020-02-13 11:46:00,325.1,325.18,325.18,325.08,11100.0
2020-02-13 11:45:00,325.08,325.07,325.21,325.04,19521.0
2020-02-13 11:44:00,325.01,325.11,325.15,325.01,13551.0
2020-02-13 11:43:00,325.14,324.96,325.14,324.91,27732.0
2020-02-13 11:42:00,325.05,325.13,325.15,324.91,41055.0
2020-02-13 11:41:00,325.06,325.04,325.11,325.01,19776.0
2020-02-13 11:40:00,325.11,325.05,325.19,325.01,27660.0
2020-02-13 11:39:00,325.04,325.11,325.16,325.04,30596.0
2020-02-13 11:38:00,324.95,325.04,325.1,324.94,40941.0
2020-02-13 11:37:00,325.23,324.95,325.23,324.77,150994.0
2020-02-13 11:36:00,325.52,325.22,325.54,325.07,70795.0
2020-02-13 11:35:00,325.43,325.53,325.59,325.4,41910.0
2020-02-13 11:34:00,325.49,325.43,325.49,325.39,13712.0
2020-02-13 11:33:00,325.46,325.46,325.51,325.4,27450.0
2020-02-13 11:32:00,325.49,325.47,325.55,325.43,33312.0
2020-02-13 11:31:00,325.52,325.48,325.62,325.46,39036.0
2020-02-13 11:30:00,325.29,325.52,325.53,325.27,42183.0
2020-02-13 11:29:00,325.35,325.3,325.47,325.3,37049.0
2020-02-13 11:28:00,325.5,325.33,325.52,325.32,25652.0
2020-02-13 11:27:00,325.38,325.52,325.52,325.36,36738.0
2020-02-13 11:26:00,325.5,325.37,325.56,325.33,40813.0
2020-02-13 11:25:00,325.54,325.5,325.61,325.43,151948.0
2020-02-13 11:24:00,325.54,325.5,325.61,325.43,151948.0
2020-02-13 11:23:00,325.56,325.57,325.6,325.51,9152.0
2020-02-13 11:22:00,325.56,325.57,325.6,325.51,9152.0
2020-02-13 11:21:00,325.62,325.56,325.68,325.55,81200.0
2020-02-13 11:20:00,325.41,325.49,325.64,325.41,89961.0
2020-02-13 11:19:00,325.3,325.4,325.44,325.22,19463.0
2020-02-13 11:18:00,325.14,325.31,325.31,325.1,38207.0
2020-02-13 11:17:00,325.16,325.13,325.17,325.08,31920.0
2020-02-13 11:16:00,325.06,325.15,325.22,325.02,21040.0
2020-02-13 11:15:00,325.32,325.09,325.32,325.07,33861.0
2020-02-13 11:14:00,325.35,325.31,325.38,325.23,19769.0
2020-02-13 11:13:00,325.37,325.35,325.47,325.28,34161.0
2020-02-13 11:12:00,325.25,325.37,325.39,325.21,35014.0
2020-02-13 11:11:00,325.2,325.24,325.47,325.2,69928.0
2020-02-13 11:10:00,324.99,325.18,325.19,324.98,55790.0
2020-02-13 11:09:00,325.05,324.99,325.17,324.99,38522.0
2020-02-13 11:08:00,325.22,325.05,325.26,325.0,43988.0
2020-02-13 11:07:00,325.21,325.22,325.34,325.12,37330.0
2020-02-13 11:06:00,325.18,325.21,325.27,325.1,60564.0
2020-02-13 11:05:00,325.52,325.16,325.52,325.15,41358.0
2020-02-13 11:04:00,325.56,325.51,325.58,325.42,28167.0
2020-02-13 11:03:00,325.59,325.57,325.59,325.4,46408.0
2020-02-13 11:02:00,325.5,325.58,325.6,325.4,95787.0
2020-02-13 11:01:00,325.36,325.48,325.55,325.26,90023.0
2020-02-13 11:00:00,325.34,325.36,325.49,325.31,80348.0
